category,mode,tokens,prompt_tokens,tokens_per_step_cap,accepted_tokens_per_step,verified_nodes_per_step,total_s,ttft_s,tps,speedup_vs_base,prefix_match_vs_base,peak_alloc_mb,peak_reserved_mb,model_context_window,context_utilization,fp16_kv_mb_est,ideal_turbo_vq_kv_mb_est,ideal_turbo_vq_transfer_reduction,packed_kv_qjl_sidecar_mb_est,packed_kv_qjl_sidecar_pct_of_fp16_kv,stat_adaptive_tree_balanced_choice_count,stat_adaptive_tree_balanced_steps,stat_adaptive_tree_primary_choice_count,stat_adaptive_tree_steps,stat_candidate_paths_considered,stat_decode_steps,stat_draft_head_type,stat_fallback_full_tree_steps,stat_full_tree_steps,stat_fused_lm_head_argmax_steps,stat_generated_tokens,stat_kv_cache_max_length,stat_kv_cache_required_len,stat_kv_cache_use_model_context,stat_medusa_choice_count,stat_medusa_choice_max_depth,stat_model_context_window,stat_packed_kv_qjl_auto_disable_events,stat_packed_kv_qjl_enabled,stat_packed_kv_qjl_fallback_steps,stat_packed_kv_qjl_gated_steps,stat_packed_kv_qjl_min_len,stat_packed_kv_qjl_steps,stat_planner_bypass_steps,stat_planner_full_tree_decisions,stat_planner_steps,stat_pruned_tree_steps,stat_selected_candidate_paths,stat_skip_gating_steps,stat_tree_policy,stat_turbo_auto_steps,stat_verified_tree_nodes,text
python_grouping,medusa_base,64,31,1.3333333333333333,1.5609756097560976,64.0,1.1610655710001083,1.1610414960000526,55.1217791643518,1.0,1.0,4966.38330078125,4988.0,131072,0.00072479248046875,2.96875,1.739501953125,1.7066666666666668,0.0115966796875,0.00390625,0,0,63,0,1722,41,medusa,0,41,41,64,32768,279,0,63,4,131072,0,0,0,0,16384,0,0,0,0,0,1722,0,fixed,0,2624,"```python
from typing import Dict, List, Tuple

def group_strings_by_first_letter(strings: List[str]) -> Dict[str, List[str]]:
    """"""
    Groups strings by their first letter.

    Args:
    strings (List[str]): A list of strings to be grouped.

    Returns:
    Dict[str,"
python_grouping,turbo_best_full_tree,64,31,1.3333333333333333,1.5609756097560976,64.0,1.1283001550000336,1.1282780950000415,56.722495088195835,1.0290396273144835,1.0,3944.12353515625,3962.0,131072,0.00072479248046875,2.96875,1.739501953125,1.7066666666666668,0.0115966796875,0.00390625,0,0,63,0,1722,41,medusa,0,41,41,64,32768,279,0,63,4,131072,0,0,0,0,16384,0,0,0,0,0,1722,0,fixed,0,2624,"```python
from typing import Dict, List, Tuple

def group_strings_by_first_letter(strings: List[str]) -> Dict[str, List[str]]:
    """"""
    Groups strings by their first letter.

    Args:
    strings (List[str]): A list of strings to be grouped.

    Returns:
    Dict[str,"
python_grouping,packed_kv_qjl_nb40,64,31,1.3333333333333333,1.5609756097560976,65.90243902439025,1.2899558519998209,1.2899285809999128,49.61410105685453,0.9000816339567794,1.0,4966.39208984375,4986.0,131072,0.00072479248046875,2.96875,1.739501953125,1.7066666666666668,0.0115966796875,0.00390625,0,0,63,0,1722,41,medusa,2,39,43,64,32768,279,0,63,4,131072,1,1,0,0,0,2,39,0,2,2,1770,0,fixed,0,2702,"```python
from typing import Dict, List, Tuple

def group_strings_by_first_letter(strings: List[str]) -> Dict[str, List[str]]:
    """"""
    Groups strings by their first letter.

    Args:
    strings (List[str]): A list of strings to be grouped.

    Returns:
    Dict[str,"
cuda_kernel,medusa_base,60,28,1.25,1.25,64.0,1.34925751100036,1.3492323590003252,44.468901978181385,1.0,1.0,4966.41015625,4986.0,131072,0.00067138671875,2.75,1.611328125,1.7066666666666668,0.0107421875,0.00390625,0,0,63,0,2016,48,medusa,0,48,48,60,32768,276,0,63,4,131072,0,0,0,0,16384,0,0,0,0,0,2016,0,fixed,0,3072,"Here is a minimal CUDA C++ vector addition kernel:
```c
__global__ void add_vectors(float* a, float* b, float* c, int n) {
    int idx = blockIdx.x * blockDim.x + threadIdx.x;
    if (idx < n) {
        c[idx"
cuda_kernel,turbo_best_full_tree,60,28,1.25,1.25,64.0,1.3199422380002943,1.3199203530002706,45.4565345911649,1.0222095120196153,1.0,3944.14111328125,3962.0,131072,0.00067138671875,2.75,1.611328125,1.7066666666666668,0.0107421875,0.00390625,0,0,63,0,2016,48,medusa,0,48,48,60,32768,276,0,63,4,131072,0,0,0,0,16384,0,0,0,0,0,2016,0,fixed,0,3072,"Here is a minimal CUDA C++ vector addition kernel:
```c
__global__ void add_vectors(float* a, float* b, float* c, int n) {
    int idx = blockIdx.x * blockDim.x + threadIdx.x;
    if (idx < n) {
        c[idx"
cuda_kernel,packed_kv_qjl_nb40,60,28,1.25,1.25,65.5625,1.9494606459998067,1.9494212899999184,30.777743640589474,0.6921183629784818,1.0,4966.40966796875,4986.0,131072,0.00067138671875,2.75,1.611328125,1.7066666666666668,0.0107421875,0.00390625,0,0,63,0,2016,48,medusa,2,46,50,60,32768,276,0,63,4,131072,1,1,0,0,0,2,46,0,2,2,2064,0,fixed,0,3147,"Here is a minimal CUDA C++ vector addition kernel:
```c
__global__ void add_vectors(float* a, float* b, float* c, int n) {
    int idx = blockIdx.x * blockDim.x + threadIdx.x;
    if (idx < n) {
        c[idx"
debugging,medusa_base,58,32,1.2083333333333333,1.2083333333333333,64.0,1.4007871599997088,1.4007622199997058,41.40529100795874,1.0,1.0,4966.42724609375,4986.0,131072,0.0006866455078125,2.8125,1.64794921875,1.7066666666666668,0.010986328125,0.00390625,0,0,63,0,2016,48,medusa,0,48,48,58,32768,280,0,63,4,131072,0,0,0,0,16384,0,0,0,0,0,2016,0,fixed,0,3072,"## Step 1: Understanding the Problem
The problem is that the function `my_function` is modifying the default list argument across calls, which is not allowed in Python. This is because the default argument is evaluated only once when the function is defined, not each time it's called.

"
debugging,turbo_best_full_tree,58,32,1.2083333333333333,1.2083333333333333,64.0,1.3236289000001307,1.3236043950000749,43.81892840205761,1.0582929701818768,1.0,3944.15966796875,3962.0,131072,0.0006866455078125,2.8125,1.64794921875,1.7066666666666668,0.010986328125,0.00390625,0,0,63,0,2016,48,medusa,0,48,48,58,32768,280,0,63,4,131072,0,0,0,0,16384,0,0,0,0,0,2016,0,fixed,0,3072,"## Step 1: Understanding the Problem
The problem is that the function `my_function` is modifying the default list argument across calls, which is not allowed in Python. This is because the default argument is evaluated only once when the function is defined, not each time it's called.

"
debugging,packed_kv_qjl_nb40,58,32,1.2083333333333333,1.2083333333333333,65.64583333333333,1.4385395909998806,1.4385027080002146,40.318667878779856,0.9737564184980606,1.0,4966.42822265625,4986.0,131072,0.0006866455078125,2.8125,1.64794921875,1.7066666666666668,0.010986328125,0.00390625,0,0,63,0,2016,48,medusa,2,46,50,58,32768,280,0,63,4,131072,1,1,0,0,0,2,46,0,2,2,2064,0,fixed,0,3151,"## Step 1: Understanding the Problem
The problem is that the function `my_function` is modifying the default list argument across calls, which is not allowed in Python. This is because the default argument is evaluated only once when the function is defined, not each time it's called.

"
systems_code,medusa_base,57,32,1.1875,1.1875,64.0,1.3444263450001017,1.3444003179997708,42.397264983672784,1.0,1.0,4966.44677734375,4986.0,131072,0.00067901611328125,2.78125,1.629638671875,1.7066666666666668,0.0108642578125,0.00390625,0,0,63,0,2016,48,medusa,0,48,48,57,32768,280,0,63,4,131072,0,0,0,0,16384,0,0,0,0,0,2016,0,fixed,0,3072,"Here is a concise C++ example that uses std::thread to split work across workers and joins them safely:

```cpp
#include <iostream>
#include <thread>
#include <vector>
#include <mutex>

// Function to perform some work
void worker(int id, std::vector<int"
